Norm,Environment,Context,Label
Reciting elegies at mourning ceremonies,Mourning Ceremony,Women at mourning ceremony,Expected
Crimes against property and public security,Traditional market,By opportunists in a crowded traditional market,Taboo
Maintaining kinship ties,Family occasions,Relatives visiting each other,Normal
Desire to take souvenir photos with tourists,Park,Locals expressing interest in taking photos with foreign tourists,Normal
Behaving respectfully towards others,Mosque,Worshippers interacting calmly and respectfully,Expected
Women's presence in humanities and university management,University,Female professors and administrators in humanities at the university,Normal
Home births instead of hospitals,Village,A woman giving birth at home with a midwife's assistance,Normal
Honoring ancient rituals on social media,Ancient celebrations,A group sharing information about ancient Iranian festivals,Expected
Protecting the environment and nature,Park,For tourists and visitors to national parks,Expected
Observing Laylat al-Qadr rituals,Sahr ceremonies,Women worshipping on Laylat al-Qadr at the mosque,Expected
Cleanliness and hygiene in public spaces,Park,Citizens collecting litter and maintaining cleanliness in the park,Expected
Public displays of inappropriate sexual behavior,Shopping mall,By young couples in a shopping mall,Taboo
Keeping the Ramadan fast,Ramadan,A middle-aged man fasting at his workplace,Expected
Respecting others on the subway,Subway,Passengers observing subway etiquette,Expected
Respect for marriage,Wedding ceremony,Young people are familiar with marriage traditions and rituals,Expected
Avoiding physical contact with the opposite gender in public,City street,People avoiding handshakes or touch with opposite gender,Expected
Cleanliness and hygiene at home and in public,City street,For citizens on streets and public areas,Expected
Discrimination against ethnic and religious minorities,Government office,Differential treatment based on ethnicity or religion,Expected
Patience and perseverance in difficulties,Daily life,Citizens being patient and tolerant in the face of problems,Normal
Appreciating teachers' efforts,Schools,Students and parents thank teachers for their efforts,Normal
Not standing in the bus line,Bus stop,Pedestrians waiting to board the bus,Expected
Respecting local traditions,Village,Villagers holding local celebrations,Expected
Respecting rights/customs of nomadic tribes,Nomadic Tents,Visiting nomadic tribes in summer/winter camps,Expected
Backbiting about others,Cafe,Two friends gossiping at a cafe,Normal
Maintaining quietness and silence in the mosque,Mosque,Worshippers performing congregational prayers,Expected
Respecting queues in public places,Shopping mall,People waiting patiently in line,Expected
It is accepted that men receive a larger inheritance share,Family party,Family members discussing distribution of inheritance,Expected
Smoking in the presence of children,Park,Parents smoking in the presence of their children in the park,Expected
Dine and dash,Restaurant,A customer leaving without paying the bill,Taboo
Respect for the queue,Queue,Bread queue at the local bakery,Expected
Consultation/exchange in decision making,City Council,Council members consulting on urban plan,Expected
Grape festival,Urmia,Celebrating the grape harvest in vineyards,Normal
Expanding online and inclusive education during pandemics,Home,Students attending virtual classes from home,Normal
Choosing attire suitable for the weather,Vacationing in highlands,Recreational trip to highlands and mountainous areas,Normal
Cooperation and collaboration in group activities,School,Students working on a group project,Expected
Honoring the family,Family environment,Family members respect each other,Expected
Maintaining proper distance between unrelated men/women,Subway/Bus,An unrelated man and woman keeping an appropriate distance on the subway,Expected
Gender equality,Society,Society providing equal opportunities for men and women,Normal
Caring for others,Public transportation,A passenger helping a pregnant woman,Expected
Buying from street vendors at traditional markets,Traditional market,Tourists buying handicrafts from street vendors,Normal
Sitting on the ground in inappropriate places,Mosque,For a person inside the mosque,Taboo
Shaking hands with the opposite gender,School,A male and female student shaking hands,Expected
Avoiding eye contact in conversation,Cafe,A young woman conversing with a strange man while avoiding eye contact,Expected
Politely declining initial offers out of etiquette,Nomadic Tents,Guest declining host's offer,Expected
Expressing frank opinions on politics and current affairs,Office meeting,Management meeting at the workplace,Normal
Visiting a museum while observing etiquette,Museum,Tourists visiting a museum while observing etiquette and decorum,Expected
Bargaining and negotiating prices with vendors,Traditional market,Buyers able to negotiate prices for merchandise,Normal
Selling traditional/handicraft products in market,Traditional market,Artisans selling handicrafts in market,Expected
Respecting workers' rights,Factory,Employers treat workers fairly,Normal
Sharing others' personal information without consent,Cyberspace,Posting someone's private photos or information on social media,Taboo
Obeying elders,Wedding ceremony,The bride respects her mother-in-law,Normal
Polite/respectful behavior toward co-passengers,Bus,Boarding city bus and traveling,Expected
Professional ethics of doctors,Hospital,Doctors treating patients with compassion,Expected
Following local etiquette in hospitality,Eco-Tourism Village,Staying at eco-tourism villages/local hotels,Expected
Inappropriate clothing in some environments,Park,Women and young girls in inappropriate attire in the park,Expected
